 npl time [msec]
 19718  28400.4966
 rpl   zpl  tokpl
  435.9375  239.0625  0.472057263
  435.9375  243.75  0.516168963
  435.9375  248.4375  0.560468553
  435.9375  253.125  0.604305555
  435.9375  257.8125  0.646954524
  435.9375  262.5  0.696406121
  435.9375  267.1875  0.741915729
  435.9375  271.875  0.781296041
  435.9375  276.5625  0.81184165
  435.9375  281.25  0.830655637
  435.9375  285.9375  0.834438524
  435.9375  290.625  0.819136139
  435.9375  295.3125  0.724969427
  435.9375  300.  0.603632906
  435.9375  304.6875  0.469535363
  435.9375  309.375  0.330635254
  435.9375  314.0625  0.196941469
  435.9375  318.75  0.0879540536
  435.9375  323.4375  0.060313638
  435.9375  328.125  0.0524843953
  435.9375  332.8125  0.06009616
  435.9375  337.5  0.0781275418
  435.9375  342.1875  0.100748434
  435.9375  346.875  0.12126471
  435.9375  351.5625  0.131712797
  435.9375  356.25  0.123155352
  438.28125 -32.8125  0.125580557
  438.28125 -28.125  0.13671125
  438.28125 -23.4375  0.121352716
  438.28125 -18.75  0.0939190644
  438.28125 -14.0625  0.0684226914
  438.28125 -9.375  0.0587853486
  438.28125 -4.6875  0.0782412591
  438.28125  0.  0.191351249
  438.28125  4.6875  0.380005495
  438.28125  9.375  0.574595705
  438.28125  14.0625  0.749383713
  438.28125  18.75  0.828895538
  438.28125  23.4375  0.823542912
  438.28125  28.125  0.784950513
  438.28125  32.8125  0.723383118
  438.28125  37.5  0.647807756
  438.28125  42.1875  0.57888167
  438.28125  46.875  0.508010858
  438.28125  51.5625  0.437185359
  438.28125  56.25  0.368712522
  438.28125  60.9375  0.304544664
  438.28125  65.625  0.247049992
  438.28125  70.3125  0.204973639
  438.28125  75.  0.16858849
  438.28125  79.6875  0.137368447
  438.28125  84.375  0.110836096
  438.28125  89.0625  0.0884897051
  438.28125  93.75  0.0698914344
  438.28125  98.4375  0.0545856606
  438.28125  103.125  0.0421486137
  438.28125  107.8125  0.0321659908
  438.28125  112.5  0.0254916128
  438.28125  117.1875  0.0210054435
  438.28125  121.875  0.0176851274
  438.28125  126.5625  0.0152660242
  438.28125  131.25  0.0135539159
  438.28125  135.9375  0.0123980882
  438.28125  140.625  0.0116807776
